2026-05-30T18:56:52,GoldFish,0.633,12.5,27.7,452.0,29.0,Adult,529,389,640,635
2026-05-30T18:56:52,GoldFish,0.766,18.7,13.6,319.0,97.8,Adult,405,223,640,394
2026-05-30T18:56:54,GoldFish,0.661,18.6,37.2,571.0,96.2,Adult,509,328,640,590
2026-05-30T18:56:54,GoldFish,0.597,21.4,41.3,582.0,146.9,Adult,492,298,640,583
2026-05-30T18:56:54,GoldFish,0.700,24.9,46.2,618.0,232.1,Adult,477,252,639,552
2026-05-30T18:56:54,GoldFish,0.720,28.1,44.5,631.0,334.4,Adult,460,258,639,541
2026-05-30T18:56:55,ClownFish,0.587,32.3,45.4,658.0,572.4,Adult,443,252,640,529
2026-05-30T18:56:55,ClownFish,0.826,34.4,44.7,673.0,695.8,Adult,434,254,639,521
2026-05-30T18:56:55,GoldFish,0.787,36.5,46.1,704.0,736.8,Adult,426,251,634,514
2026-05-30T18:56:55,GoldFish,0.802,36.1,46.5,721.0,712.7,Adult,416,252,617,511
2026-05-30T18:56:55,GoldFish,0.854,32.5,44.2,721.0,518.9,Adult,422,262,603,508
2026-05-30T18:56:55,GoldFish,0.845,32.6,42.7,739.0,523.8,Adult,426,269,603,501
2026-05-30T18:56:55,GoldFish,0.808,35.7,41.0,739.0,689.1,Adult,429,272,623,495
2026-05-30T18:56:55,GoldFish,0.700,26.8,29.8,561.0,289.9,Adult,199,248,391,461
2026-05-30T18:56:55,GoldFish,0.803,37.3,41.1,757.0,786.6,Adult,435,270,633,488
2026-05-30T18:56:55,GoldFish,0.728,24.4,38.0,704.0,218.3,Adult,164,263,303,480
2026-05-30T18:56:55,GoldFish,0.532,38.1,41.8,777.0,838.7,Adult,440,266,637,482
2026-05-30T18:56:55,ClownFish,0.776,36.8,41.4,777.0,857.6,Adult,449,262,639,476
2026-05-30T18:56:56,GoldFish,0.729,32.5,41.3,797.0,518.9,Adult,475,252,639,460
2026-05-30T18:56:56,GoldFish,0.652,30.2,41.1,797.0,415.8,Adult,487,250,639,457
2026-05-30T18:56:56,GoldFish,0.698,29.8,41.1,797.0,399.3,Adult,489,252,639,459
2026-05-30T18:56:56,GoldFish,0.705,31.6,38.3,739.0,476.7,Adult,302,356,474,564
2026-05-30T18:56:56,GoldFish,0.519,26.0,43.3,797.0,264.5,Adult,509,250,640,468
2026-05-30T18:56:56,GoldFish,0.612,31.0,34.9,688.0,449.9,Adult,334,370,515,574
2026-05-30T18:56:57,ClownFish,0.638,19.4,21.6,673.0,117.9,Adult,524,505,640,634
2026-05-30T18:56:57,GoldFish,0.760,26.8,36.0,841.0,289.9,Adult,299,365,427,537
2026-05-30T18:56:57,GoldFish,0.527,23.0,43.5,777.0,182.7,Adult,521,251,640,476
2026-05-30T18:56:57,GoldFish,0.685,22.2,30.2,891.0,164.1,Adult,283,353,383,489
2026-05-30T18:56:57,GoldFish,0.664,20.3,30.9,918.0,125.3,Adult,284,351,373,486
2026-05-30T18:56:57,GoldFish,0.588,23.8,43.1,777.0,202.5,Adult,517,254,640,477
2026-05-30T18:56:57,GoldFish,0.571,20.1,30.2,918.0,121.6,Adult,286,352,374,484
2026-05-30T18:56:57,GoldFish,0.533,20.2,31.1,891.0,123.4,Adult,289,345,380,485
2026-05-30T18:56:58,GoldFish,0.828,23.4,51.8,797.0,192.4,Adult,522,213,640,474
2026-05-30T18:56:58,GoldFish,0.563,19.7,31.7,891.0,114.4,Adult,291,344,380,487
2026-05-30T18:56:58,GoldFish,0.778,24.6,45.4,797.0,223.8,Adult,516,243,640,472
2026-05-30T18:56:58,GoldFish,0.796,24.2,44.1,797.0,213.0,Adult,518,248,640,470
2026-05-30T18:56:58,GoldFish,0.539,20.6,31.5,918.0,130.9,Adult,289,343,379,481
2026-05-30T18:56:58,GoldFish,0.820,24.6,43.7,797.0,223.8,Adult,515,249,639,469
2026-05-30T18:56:58,GoldFish,0.804,24.4,43.7,797.0,218.3,Adult,516,250,639,470
2026-05-30T18:56:58,GoldFish,0.787,24.2,43.5,797.0,213.0,Adult,517,249,639,468
2026-05-30T18:56:58,GoldFish,0.586,24.0,38.7,777.0,207.7,Adult,192,288,316,488
2026-05-30T18:56:58,GoldFish,0.580,25.2,53.6,797.0,240.7,Adult,513,203,640,473
2026-05-30T18:56:58,GoldFish,0.742,22.8,44.9,777.0,177.9,Adult,522,244,640,476
2026-05-30T18:56:58,GoldFish,0.665,26.5,35.4,644.0,280.2,Adult,127,263,292,484
2026-05-30T18:56:58,GoldFish,0.710,23.2,47.9,757.0,187.5,Adult,517,239,640,493
2026-05-30T18:56:58,GoldFish,0.697,24.8,64.2,777.0,229.3,Adult,511,223,639,555
2026-05-30T18:56:58,GoldFish,0.621,22.1,69.7,739.0,161.9,Adult,519,189,639,568
2026-05-30T18:56:59,GoldFish,0.552,19.4,56.0,721.0,109.2,Adult,532,220,640,532
2026-05-30T18:56:59,GoldFish,0.560,22.3,61.2,721.0,166.4,Adult,516,183,640,524
2026-05-30T18:57:00,GoldFish,0.566,24.4,60.1,721.0,218.3,Adult,504,166,640,501
2026-05-30T18:57:00,GoldFish,0.830,23.7,37.1,618.0,200.0,Adult,174,163,328,404
2026-05-30T18:57:00,GoldFish,0.577,21.9,49.9,721.0,157.5,Adult,517,154,639,432
